time,gibbs,gibbs,,
1,0.154465803,0.453412567,0,0
2,0.154459103,0.453406693,-6.7E-06,-5.874E-06
3,0.154457376,0.45340535,-8.427E-06,-7.217E-06
4,0.154456531,0.453404776,-9.272E-06,-7.791E-06
5,0.154455996,0.453404453,-9.807E-06,-8.114E-06
6,0.154455608,0.453404233,-1.0195E-05,-8.334E-06
7,0.154455309,0.453404063,-1.0494E-05,-8.504E-06
8,0.15445507,0.453403923,-1.0733E-05,-8.644E-06
9,0.154454875,0.453403801,-1.0928E-05,-8.766E-06
10,0.154454714,0.453403693,-1.1089E-05,-8.874E-06
11,0.154454581,0.453403595,-1.1222E-05,-8.972E-06
12,0.154454469,0.453403507,-1.1334E-05,-9.06E-06
13,0.154454375,0.453403425,-1.1428E-05,-9.142E-06
14,0.154454295,0.45340335,-1.1508E-05,-9.217E-06
15,0.154454226,0.45340328,-1.1577E-05,-9.287E-06
16,0.154454167,0.453403214,-1.1636E-05,-9.353E-06
17,0.154454117,0.453403152,-1.1686E-05,-9.415E-06
18,0.154454072,0.453403094,-1.1731E-05,-9.473E-06
19,0.154454033,0.453403039,-1.177E-05,-9.528E-06
20,0.154453999,0.453402986,-1.1804E-05,-9.581E-06
21,0.154453968,0.453402935,-1.1835E-05,-9.632E-06
22,0.154453941,0.453402886,-1.1862E-05,-9.681E-06
23,0.154453917,0.453402839,-1.1886E-05,-9.728E-06
24,0.154453895,0.453402793,-1.1908E-05,-9.774E-06
25,0.154453875,0.453402748,-1.1928E-05,-9.819E-06
26,0.154453857,0.453402703,-1.1946E-05,-9.864E-06
27,0.15445384,0.45340266,-1.1963E-05,-9.907E-06
28,0.154453825,0.453402617,-1.1978E-05,-9.95E-06
29,0.154453811,0.453402575,-1.1992E-05,-9.992E-06
30,0.154453798,0.453402533,-1.2005E-05,-1.0034E-05
31,0.154453786,0.453402491,-1.2017E-05,-1.0076E-05
32,0.154453775,0.45340245,-1.2028E-05,-1.0117E-05
33,0.154453764,0.453402408,-1.2039E-05,-1.0159E-05
34,0.154453755,0.453402366,-1.2048E-05,-1.0201E-05
35,0.154453745,0.453402324,-1.2058E-05,-1.0243E-05
36,0.154453737,0.453402282,-1.2066E-05,-1.0285E-05
37,0.154453729,0.453402239,-1.2074E-05,-1.0328E-05
38,0.154453721,0.453402196,-1.2082E-05,-1.0371E-05
39,0.154453714,0.453402153,-1.2089E-05,-1.0414E-05
40,0.154453707,0.453402109,-1.2096E-05,-1.0458E-05
41,0.1544537,0.453402065,-1.2103E-05,-1.0502E-05
42,0.154453694,0.45340202,-1.2109E-05,-1.0547E-05
43,0.154453688,0.453401974,-1.2115E-05,-1.0593E-05
44,0.154453683,0.453401928,-1.212E-05,-1.0639E-05
45,0.154453678,0.45340188,-1.2125E-05,-1.0687E-05
46,0.154453673,0.453401833,-1.213E-05,-1.0734E-05
47,0.154453668,0.453401784,-1.2135E-05,-1.0783E-05
48,0.154453663,0.453401734,-1.214E-05,-1.0833E-05
49,0.154453659,0.453401684,-1.2144E-05,-1.0883E-05
50,0.154453654,0.453401632,-1.2149E-05,-1.0935E-05
51,0.15445365,0.45340158,-1.2153E-05,-1.0987E-05
